participant,date,n_fixes,coverage_h,total_distance_km_raw,total_distance_km_filtered,mean_speed_kmh_weighted,time_at_home_h,radius_of_gyration_m,screen_on_h,n_screen_sessions,n_power_events,n_powerdowns,session_max_s,session_min_s,session_mean_s,session_std_s,nocturnal_screen_ons,reported_home_h
3si9xdvl,2022-03-20,2.0,0.0025,0.0,0.0,0.0,0.0025,0.0,,,,,,,,,,
3si9xdvl,2022-03-21,1776.0,1.8783763888888891,30.024174365687564,11.124553691675588,5.92243054026891,0.8109080555555555,2076.667219035348,1.1252730555555555,58.0,125.0,0.0,539.706,0.476,69.84453448275862,115.78228676318683,0.0,10.0
3si9xdvl,2022-03-22,2330.0,2.1778230555555553,15.270649669596398,4.832887502724547,2.2191368992976765,1.8708291666666668,862.236844987255,3.364208611111111,71.0,148.0,0.0,2439.322,1.148,170.57959154929577,394.07943593343776,4.0,
3si9xdvl,2022-03-23,379.0,0.37797444444444445,0.48582695979776863,0.46365059779388024,1.2266718150095164,0.37797444444444445,7.8901128202507556,0.0,0.0,1.0,0.0,,,,,0.0,21.0
3si9xdvl,2022-03-24,2804.0,2.978280277777778,11.748116492212032,2.565682679084902,0.8614644827851015,2.188629166666667,2735.48558226831,4.076318055555555,101.0,205.0,0.0,3328.681,0.496,145.29450495049505,431.70994814793477,0.0,
3si9xdvl,2022-03-25,1692.0,1.8813272222222224,12.88894105959883,2.9902630710498457,1.5894433651567266,1.7126344444444443,1797.3498178423986,1.0200358333333333,39.0,78.0,0.0,1273.09,1.105,94.15715384615385,230.6893606224543,8.0,18.0
3si9xdvl,2022-03-26,5024.0,3.965088888888889,43.96100918422329,13.457891661229684,3.3940958294634607,2.1471055555555556,2731.9255701018674,2.378664444444445,126.0,254.0,0.0,2873.358,0.503,67.96184126984127,279.95280997355,23.0,
3si9xdvl,2022-03-27,1514.0,1.5217619444444443,17.492531202677753,6.0141399603622085,3.9520898668272415,1.3568261111111113,832.4122672145475,0.5794727777777777,42.0,88.0,0.0,1049.934,0.521,49.66909523809524,168.8949012327777,27.0,
bn4j8yj9,2022-03-21,1141.0,0.930935,9.341136873223993,2.0169302005883076,2.1665639390379647,0.8373033333333332,1032.1800570658177,0.2582219444444444,25.0,51.0,0.0,124.018,1.274,37.18396,35.13780498679449,0.0,21.0
bn4j8yj9,2022-03-22,5459.0,4.219504722222222,17.311775828462974,5.282776659411862,1.2519897493158065,4.022606944444444,929.5816628988097,1.8404269444444445,57.0,116.0,0.0,1754.347,2.463,116.23749122807018,282.68140334098,0.0,21.0
